Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
138,N7JN,146.700,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,N7JN - 146.700,,,,
139,N7JN,224.480,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,N7JN - 224.480,,,,
140,N7JN,443.450,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,N7JN - 443.450,,,,
141,W7ECG,224.160,-,1.600000,Tone,156.7,88.5,023,NN,FM,5.00,,W7ECG - 224.160,,,,
142,W7ECG,442.250,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,W7ECG - 442.250,,,,
143,W7ECG,442.825,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,W7ECG - 442.825,,,,
144,W7AVM,146.860,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,W7AVM - 146.860,,,,
145,W7AVM,147.220,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,W7AVM - 147.220,,,,
146,KB7ARA,147.020,+,0.600000,,67.0,88.5,023,NN,FM,5.00,,KB7ARA - 147.020,,,,
147,K7BEL,441.100,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,K7BEL - 441.100,,,,
