No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,DMR MODE,Band Width,CTCSS/DCS Encode,Contact,Contact TG/DMR ID,Color Code,Slot,Scan List
70,W7AAO,145.37,144.77,A-Analog,0,25K,136.5,,,1,,South
71,K7LED,146.82,146.22,A-Analog,0,25K,103.5,,,1,,Metro
73,WA7HJR,444.65,449.65,A-Analog,0,25K,131.8,,,1,,Metro
75,W7NPC,444.475,449.475,A-Analog,0,25K,103.5,,,1,,Metro
78,K6MBY,444.9,449.9,A-Analog,0,25K,131.8,,,1,,North
79,WF7W,145.13,144.53,A-Analog,0,25K,100.0,,,1,,North
80,KC7EQO,442.1,447.1,A-Analog,0,25K,100.0,,,1,,North
81,W7FEL,146.76,146.16,A-Analog,0,25K,100.0,,,1,,North
85,W7DK,147.28,147.88,A-Analog,0,25K,103.5,,,1,,South
86,W7DK,440.625,445.625,A-Analog,0,25K,103.5,,,1,,South
87,W7DK,147.38,147.98,A-Analog,0,25K,103.5,,,1,,South
88,W7TED,442.45,447.45,A-Analog,0,25K,103.5,,,1,,South
91,WA7ROY,444.175,449.175,A-Analog,0,25K,123.0,,,1,,South
93,N7OEP,440.075,445.075,A-Analog,0,25K,103.5,,,1,,South
94,N7OEP,443.175,448.175,A-Analog,0,25K,107.2,,,1,,South
97,W7AW,145.13,144.53,A-Analog,0,25K,103.5,,,1,,Metro
98,W7AW,440.975,445.975,D-Digital,1,12.5K,,Seattle2,813153,2,2,Metro
99,W7AW,441.8,446.8,A-Analog,0,25K,141.3,,,1,,Metro
100,N7JN,146.7,146.1,A-Analog,0,25K,131.8,,,1,,North
103,W7PIG,147.36,147.96,A-Analog,0,25K,127.3,,,1,,North
104,W7PIG,441.05,446.05,A-Analog,0,25K,103.5,,,1,,North
105,W7ZA,147.16,147.76,A-Analog,0,25K,88.5,,,1,,South
106,W7ZA,146.9,146.3,A-Analog,0,25K,88.5,,,1,,South
107,K7CPR,145.47,144.87,A-Analog,0,25K,100.0,,,1,,South
111,W7ECG,440.7375,445.7375,D-Digital,1,12.5K,,,,,,North
112,W7ECG,442.25,447.25,A-Analog,0,25K,156.7,,,1,,North
113,W7ECG,442.825,447.825,A-Analog,0,25K,156.7,,,1,,North
114,W7BFD,442.3,447.3,A-Analog,0,25K,88.5,,,1,,North
115,WA7DEM,146.78,146.18,A-Analog,0,25K,D172N,,,1,,Metro
117,WA7DEM,442.975,447.975,A-Analog,0,25K,D172N,,,1,,Metro
118,WA7DEM,443.725,448.725,A-Analog,0,25K,103.5,,,1,,Metro
119,WA7DEM,146.92,146.32,A-Analog,0,25K,123.0,,,1,,North
120,WA7DEM,444.025,449.025,A-Analog,0,12.5K,156.7,,,1,,Metro
121,WA7DEM,444.3,449.3,A-Analog,0,25K,103.5,,,1,,North
122,K7MLR,444.2,449.2,A-Analog,0,25K,D172N,,,1,,North
123,KF7NPL,147.26,147.86,A-Analog,0,25K,103.5,,,1,,Metro
