Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Name	Operating Mode	Tx Power	AMS	Fusion	Half Dev	Tone Mode	CTCSS	DCS	DCS Polarity	RX DGID	TX DGID	User CTCSS	Skip	Step	Attenuator	S-Meter Squelch	Bell	Clock Shift	Simplex	Central Sound	North Sound	South Sound	Foothills	BANK 6	BANK 7	BANK 8	BANK 9	BANK10	BANK11	BANK12	BANK13	BANK14	BANK15	BANK16	BANK17	BANK18	BANK19	BANK20	BANK21	BANK22	BANK23	Comment	
311	146.92500	146.32500	600 kHz	Minus	WA7DEM (RR#11)	FM	High (5 W)	Off	Off	On	Tone	156.7 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Granite Falls, WA (Snohomish County Auxiliary Communications Service)	
312	224.38000	222.78000	1.60 MHz	Minus	WA7DEM (RR#12)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Marysville, WA (Snohomish County Auxiliary Communications Service)	
313	442.97500	447.97500	5.00 MHz	Plus	WA7DEM (RR#13)	FM	High (5 W)	Off	Off	On	Tone	156.7 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Clearview, WA (Snohomish County Auxiliary Communications Service)	
314	443.72500	448.72500	5.00 MHz	Plus	WA7DEM (RR#14)	FM	High (5 W)	Off	Off	On	Tone	156.7 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Mountlake Terrace, WA (Snohomish County Auxiliary Communications Service)	
315	444.02500	449.02500	5.00 MHz	Plus	WA7DEM (RR#15)	FM	High (5 W)	Off	Off	On	Tone	156.7 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Edmonds, WA (Snohomish County Auxiliary Communications Service)	
316	444.20000	449.20000	5.00 MHz	Plus	WA7DEM (RR#16)	FM	High (5 W)	Off	Off	On	Tone	156.7 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Marysville, WA (Snohomish County Auxiliary Communications Service)	
317	444.30000	449.30000	5.00 MHz	Plus	WA7DEM (RR#17)	FM	High (5 W)	Off	Off	On	Tone	156.7 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Darrington, WA (Snohomish County Auxiliary Communications Service)	
318	147.16000	147.76000	600 kHz	Plus	W7MIR (RR#18)	FM	High (5 W)	Off	Off	Off	Tone	146.2 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Mercer Island, WA (Mercer Island Radio Operators)	
319	440.15000	445.15000	5.00 MHz	Plus	W7MIR (RR#19)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Mercer Island, WA (Mercer Island Radio Operators)	
320	147.10000	147.70000	600 kHz	Plus	W7DG (RR#20)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Longview, WA (Lower Columbia Amateur Radio Association)	
321	147.30000	147.90000	600 kHz	Plus	W7DG (RR#21)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Woodland, WA (Lower Columbia Amateur Radio Association)	
322	224.14000	222.54000	1.60 MHz	Minus	W7DG (RR#22)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Longview, WA (N3EG)	
323	444.90000	449.90000	5.00 MHz	Plus	W7DG (RR#23)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Longview, WA (Lower Columbia Amateur Radio Association)	
324	147.34000	147.94000	600 kHz	Plus	K6RFK (RR#24)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Woodinville, WA (K6RFK's repeater system)	
325	442.77500	447.77500	5.00 MHz	Plus	K6RFK (RR#25)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Woodinville, WA (K6RFK's repeater system)	
326	145.37000	144.77000	600 kHz	Minus	W7AAO (RR#26)	FM	High (5 W)	Off	Off	Off	Tone	136.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Enumclaw, WA (Pierce County ARES)	
327	146.64000	146.04000	600 kHz	Minus	W7AAO (RR#27)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Edgewood, WA (Pierce County DEM)	
328	927.85000	902.85000	25.00 MHz	Minus	W7AAO (RR#28)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Buckley, WA (District 5 ARES)	
329	146.76000	146.16000	600 kHz	Minus	WA7FW (RR#29)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)	
330	147.04000	147.64000	600 kHz	Plus	WA7FW (RR#30)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)	
331	442.92500	447.92500	5.00 MHz	Plus	WA7FW (RR#31)	FM	High (5 W)	Off	Off	Off	DCS	123.0 Hz	036	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)	
332	442.95000	447.95000	5.00 MHz	Plus	WA7FW (RR#32)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)	
333	442.10000	447.10000	5.00 MHz	Plus	KC7EQO (RR#33)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Blyn, WA (Matt KC7EQO's repeater system)	
334	146.62000	146.02000	600 kHz	Minus	KC7Z (RR#34)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Gold Mtn, WA (Kitsap County Amateur Radio Club)	
335	442.65000	447.65000	5.00 MHz	Plus	KC7Z (RR#35)	FM	High (5 W)	Off	Off	On	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Gold Mtn, WA (Kitsap County Amateur Radio Club)	
336	444.07500	449.07500	5.00 MHz	Plus	KC7Z (RR#36)	FM	High (5 W)	Off	Off	On	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Bremerton, WA (Kitsap County Amateur Radio Club)	
337	145.33000	144.73000	600 kHz	Minus	K7NWS (RR#37)	FM	High (5 W)	Off	Off	Off	Tone	179.9 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Tiger Mtn West, WA (Boeing Employees Amateur Radio Society)	
338	224.34000	222.74000	1.60 MHz	Minus	K7NWS (RR#38)	FM	High (5 W)	Off	Off	Off	Tone	110.9 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Tiger Mtn West, WA (Boeing Employees Amateur Radio Society)	
339	442.07500	447.07500	5.00 MHz	Plus	K7NWS (RR#39)	FM	High (5 W)	Off	Off	Off	Tone	110.9 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Tiger Mtn West, WA (Boeing Employees Amateur Radio Society)	
340	53.03000	51.33000	1.70 MHz	Minus	K7CH (RR#40)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Baw Faw Peak, WA (Carl K7CH's repeater system)	
341	443.32500	448.32500	5.00 MHz	Plus	N9VW (RR#44)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Cougar Mtn. (Steve N9VW's repeater system)	
342	147.10000	147.70000	600 kHz	Plus	KC7RAS (RR#45)	FM	High (5 W)	Off	Off	Off	Tone	123.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Cougar Mtn, WA (Steve N9VW's repeater system)	
343	147.36000	147.96000	600 kHz	Plus	W7PIG (RR#46)	FM	High (5 W)	Off	Off	Off	Tone	127.3 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Camano Island, WA (Stanwood-Camano Amateur Radio Club)	
344	223.88000	222.28000	1.60 MHz	Minus	W7PIG (RR#47)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Camano Island, WA (Stanwood-Camano Amateur Radio Club)	
345	441.05000	446.05000	5.00 MHz	Plus	W7PIG (RR#48)	FM	High (5 W)	Off	Off	Off	Tone	127.3 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Camano Island, WA (Stanwood-Camano Amateur Radio Club)	
346	223.96000	222.36000	1.60 MHz	Minus	WA7TBP (RR#49)	FM	High (5 W)	Off	Off	Off	Tone	123.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Carnation, WA (Tom WA7TBP's repeater system)	
347	224.02000	222.42000	1.60 MHz	Minus	W7AUX (RR#50)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Shoreline, WA (Shoreline ACS)	
348	440.30000	445.30000	5.00 MHz	Plus	W7AUX (RR#51)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Shoreline, WA (Shoreline ACS)	
349	442.82500	447.82500	5.00 MHz	Plus	W7AUX (RR#52)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Shoreline, WA (Shoreline ACS)	
350	444.45000	449.45000	5.00 MHz	Plus	K7CH (RR#54)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Baw Faw Peak, WA (Carl K7CH's repeater system)	
351	146.82000	146.22000	600 kHz	Minus	K7LED (RR#55)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Tiger Mtn East, WA (Mike & Key Amateur Radio Club)	
352	224.12000	222.52000	1.60 MHz	Minus	K7LED (RR#56)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Tiger Mtn East, WA (Mike & Key Amateur Radio Club)	
353	53.29000	51.59000	1.70 MHz	Minus	W7AW (RR#57)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	West Seattle (West Seattle Amateur Radio Club)	
354	145.13000	144.53000	600 kHz	Minus	W7AW (RR#58)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	West Seattle (West Seattle Amateur Radio Club)	
355	441.80000	446.80000	5.00 MHz	Plus	W7AW (RR#59)	FM	High (5 W)	Off	Off	Off	Tone	141.3 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	West Seattle (West Seattle Amateur Radio Club)	
356	145.19000	144.59000	600 kHz	Minus	N7GDE (RR#60)	FM	High (5 W)	Off	Off	Off	Tone	127.3 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Lyman Mtn, WA (Radio Amateurs of Skagit County)	
357	146.72000	146.12000	600 kHz	Minus	N7SK (RR#61)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Shelton, WA (Mason County Amateur Radio Club)	
358	443.25000	448.25000	5.00 MHz	Plus	N7SK (RR#62)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Shelton, WA (Mason County Amateur Radio Club)	
359	147.18000	147.78000	600 kHz	Plus	WA7LAW (RR#64)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Everett, WA (Snohomish County Hams Club)	
360	444.57500	449.57500	5.00 MHz	Plus	WA7LAW (RR#65)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Everett, WA (Snohomish County Hams Club)	
361	147.28000	147.88000	600 kHz	Plus	K7PP (RR#66)	FM	High (5 W)	Off	Off	Off	Tone	123.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Mt Octopus, WA (Peter Policani's K7PP repeater system)	
362	441.20000	446.20000	5.00 MHz	Plus	K7PP (RR#67)	FM	High (5 W)	Off	Off	Off	Tone	123.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Gold Mtn, WA (Peter Policani's K7PP repeater system)	
363	441.30000	446.30000	5.00 MHz	Plus	K7PP (RR#68)	FM	High (5 W)	Off	Off	Off	Tone	123.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Ko Peak, WA (Peter Policani's K7PP repeater system)	
364	443.40000	448.40000	5.00 MHz	Plus	K7PP (RR#69)	FM	High (5 W)	Off	Off	Off	Tone	123.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Cougar Mtn, WA (Peter Policani's K7PP repeater system)	
365	441.17500	446.17500	5.00 MHz	Plus	KC7Z (RR#70)	FM	High (5 W)	Off	Off	On	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Gold Mtn, WA (Kitsap County Amateur Radio Club)	
366	147.32000	147.92000	600 kHz	Plus	WA7MV (RR#71)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Tunk Mtn. (Methow Valley Amateur Radio Club)	
367	146.72000	146.12000	600 kHz	Minus	WA7MV (RR#72)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Benson Creek (Methow Valley Amateur Radio Club)	
