Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	AMS	Name	Tone Mode	CTCSS	DCS	RX DGID	TX DGID	User CTCSS	Tx Power	Skip	Step	Clock Shift	Memory Group	Comment
396	145.21000	144.61000	600 kHz	Minus	FM	Off	W7DK (RR#107)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tacoma (Radio Club of Tacoma)
397	147.28000	147.88000	600 kHz	Plus	FM	Off	W7DK (RR#108)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tacoma (Radio Club of Tacoma)
398	147.38000	147.98000	600 kHz	Plus	FM	Off	W7DK (RR#109)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Crawford Mtn. (Radio Club of Tacoma)
399	440.62500	445.62500	5.00 MHz	Plus	FM	Off	W7DK (RR#110)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tacoma (Radio Club of Tacoma)
400	443.92500	448.92500	5.00 MHz	Plus	FM	Off	W7FLY (RR#111)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Lynnwood (Boeing Employees Amateur Radio Operators North Society)
401	443.10000	448.10000	5.00 MHz	Plus	FM	Off	WA7ST (RR#112)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	SeaTac (Highline Amateur Radio Club)
402	146.66000	146.06000	600 kHz	Minus	FM	Off	NC7G (RR#113)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	SeaTac (Highline Amateur Radio Club)
403	441.12500	446.12500	5.00 MHz	Plus	FM	Off	W7BUR (RR#114)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Burien (Highline Amateur Radio Club)
404	443.70000	448.70000	5.00 MHz	Plus	FM	Off	WA7DES (RR#115)	Tone	123.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Des Moines (Highline Amateur Radio Club)
405	146.70000	146.10000	600 kHz	Minus	FM	Off	N7MHE (RR#116)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Moses Lake, WA (Craig Morrison's N7MHE repeater)
406	444.47500	449.47500	5.00 MHz	Plus	FM Narrow	Off	W7NPC (RR#117)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Bainbridge Isl. (Bainbridge Amateur Radio Club)
407	147.28000	147.88000	600 kHz	Plus	FM	Off	KB7ARA (RR#120)	None	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Pikes Peak (Kamiak Butte Amateur Repeater Association)
408	147.32000	147.92000	600 kHz	Plus	FM	Off	KA7FVV (RR#121)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	West Twin (Kamiak Butte Amateur Repeater Association)
409	147.36000	147.96000	600 kHz	Plus	FM	Off	N7WRR (RR#122)	None	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Stensgar Mtn. (Kamiak Butte Amateur Repeater Association)
410	147.38000	147.98000	600 kHz	Plus	FM	Off	N7WRQ (RR#123)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Mica Peak (Kamiak Butte Amateur Repeater Association)
411	440.07500	445.07500	5.00 MHz	Plus	FM	Off	N7OEP (RR#124)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Enumclaw (Tom N7OEP's repeater system)
412	443.17500	448.17500	5.00 MHz	Plus	FM	Off	N7OEP (RR#125)	Tone	107.2 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Enumclaw (Tom N7OEP's repeater system)
413	145.25000	144.65000	600 kHz	Minus	FM	Off	KB7APU (RR#127)	Tone	186.2 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Red Mountain (Skamania County ARES)
